COUNTY,ADMINISTERED_DATE,TOTAL_DOSES,CUMULATIVE_TOTAL_DOSES,PARTIALLY_VACCINATED,TOTAL_PARTIALLY_VACCINATED,FULLY_VACCINATED,CUMULATIVE_FULLY_VACCINATED,AT_LEAST_ONE_DOSE,CUMULATIVE_AT_LEAST_ONE_DOSE,CALIFORNIA_FLAG,UP_TO_DATE_COUNT,CUMULATIVE_UP_TO_DATE_COUNT
All CA Counties,08/21/2024,1377,95764602,245,3123896,23,28863620,268,31989634,,0,0
All CA Counties,08/22/2024,1011,95765613,222,3124114,4,28863624,222,31989856,,0,0
All CA Counties,08/23/2024,471,95766084,127,3124239,2,28863626,127,31989983,,0,0
All CA Counties,08/24/2024,197,95766281,9,3124248,1,28863627,10,31989993,,0,0
All CA Counties,08/25/2024,199,95766480,12,3124259,1,28863628,12,31990005,,0,0
All CA Counties,08/26/2024,1655,95768135,102,3124358,3,28863631,102,31990107,,0,0
All CA Counties,08/27/2024,6329,95774464,160,3124517,9,28863640,168,31990275,,0,0
All CA Counties,08/28/2024,23567,95798031,495,3125009,30,28863670,522,31990797,,0,0
All CA Counties,08/29/2024,27257,95825288,542,3125550,21,28863691,562,31991359,,0,0
All CA Counties,08/30/2024,34976,95860264,680,3126223,22,28863713,695,31992054,,0,0
All CA Counties,08/31/2024,25162,95885426,388,3126609,3,28863716,389,31992443,,0,0
All CA Counties,09/01/2024,18048,95903474,357,3126954,33,28863749,378,31992821,,0,0
All CA Counties,09/02/2024,13552,95917026,264,3127211,36,28863785,293,31993114,,0,0
All CA Counties,09/03/2024,38492,95955518,744,3127950,14,28863799,753,31993867,,0,0
All CA Counties,09/04/2024,37074,95992592,744,3128692,24,28863823,766,31994633,,0,0
All CA Counties,09/05/2024,39258,96031850,732,3129417,27,28863850,752,31995385,,0,0
All CA Counties,09/06/2024,56241,96088091,898,3130309,24,28863874,916,31996301,,0,0
All CA Counties,09/07/2024,30674,96118765,569,3130877,3,28863877,571,31996872,,0,0
All CA Counties,09/08/2024,16613,96135378,364,3131240,12,28863889,375,31997247,,0,0
All CA Counties,09/09/2024,79847,96215225,1089,3132317,33,28863922,1110,31998357,,0,0
All CA Counties,09/10/2024,73186,96288411,1013,3133323,17,28863939,1024,31999381,,0,0
All CA Counties,09/11/2024,69973,96358384,1129,3134448,25,28863964,1150,32000531,,0,0
All CA Counties,09/12/2024,73304,96431688,1254,3135693,14,28863978,1259,32001790,,0,0
All CA Counties,09/13/2024,84873,96516561,1414,3137104,18,28863996,1429,32003219,,0,0
All CA Counties,09/14/2024,42294,96558855,786,3137886,6,28864002,788,32004007,,0,0
All CA Counties,09/15/2024,16756,96575611,348,3138232,15,28864017,360,32004367,,0,0
All CA Counties,09/16/2024,79604,96655215,1442,3139669,21,28864038,1458,32005825,,0,0
All CA Counties,09/17/2024,75345,96730560,1408,3141073,29,28864067,1433,32007258,,0,0
All CA Counties,09/18/2024,73801,96804361,1476,3142542,16,28864083,1485,32008743,,0,0
All CA Counties,09/19/2024,74541,96878902,1486,3144022,19,28864102,1499,32010242,,0,0
All CA Counties,09/20/2024,90727,96969629,1778,3145795,22,28864124,1795,32012037,,0,0
All CA Counties,09/21/2024,42236,97011865,832,3146625,2,28864126,832,32012869,,0,0
All CA Counties,09/22/2024,17802,97029667,423,3147048,21,28864147,444,32013313,,0,0
All CA Counties,09/23/2024,82459,97112126,1886,3148930,14,28864161,1895,32015208,,0,0
All CA Counties,09/24/2024,76930,97189056,1911,3150831,17,28864178,1918,32017126,,0,0
All CA Counties,09/25/2024,76885,97265941,2111,3152935,9,28864187,2113,32019239,,0,0
All CA Counties,09/26/2024,81740,97347681,2043,3154972,13,28864200,2051,32021290,,0,0
All CA Counties,09/27/2024,98655,97446336,2402,3157369,14,28864214,2411,32023701,,0,0
All CA Counties,09/28/2024,44967,97491303,936,3158303,16,28864230,950,32024651,,0,0
All CA Counties,09/29/2024,17212,97508515,430,3158733,17,28864247,447,32025098,,0,0
All CA Counties,09/30/2024,84530,97593045,2177,3160892,27,28864274,2186,32027284,,0,0
All CA Counties,10/01/2024,80755,97673800,2294,3163149,39,28864313,2296,32029580,,0,0
All CA Counties,10/02/2024,75368,97749168,2229,3165360,18,28864331,2229,32031809,,0,0
All CA Counties,10/03/2024,81690,97830858,2276,3167620,17,28864348,2277,32034086,,0,0
All CA Counties,10/04/2024,97299,97928157,2737,3170344,13,28864361,2737,32036823,,0,0
All CA Counties,10/05/2024,44224,97972381,955,3171295,5,28864366,956,32037779,,0,0
All CA Counties,10/06/2024,16759,97989140,468,3171763,1,28864367,469,32038248,,0,0
All CA Counties,10/07/2024,80040,98069180,2332,3174082,13,28864380,2332,32040580,,0,0
All CA Counties,10/08/2024,74309,98143489,2482,3176549,18,28864398,2485,32043065,,0,0
All CA Counties,10/09/2024,72502,98215991,2359,3178892,16,28864414,2359,32045424,,0,0
All CA Counties,10/10/2024,74421,98290412,2361,3181245,8,28864422,2361,32047785,,0,0
